Sheet	Name	Description
Glossary	Glossary	Glossary of terms
recipe	Table S1	Recipe
baselinechange_summary	Table S2	Mixed modelling changes to baseline datasets summary
baselinechange	Table S3	Mixed modelling changes to baseline datasets
rec_merged	Table S4	PERMANOVA based measure of recovery
helathychange_summary	Table S5	Longitudinal Mixed modelling changes to timeseries datasets summary
helathychange	Table S6	Longitudinal Mixed modelling changes to timeseries datasets
maaslin_config	Table S7	Configuration for all mixed models
