sampleID	Factor1	Factor2	Factor3	Factor4	Factor5	Factor6	Factor7	Factor8	Factor9	Factor10	Factor11	Factor12	Factor13	Factor14	Factor15	Factor16	Factor17	Factor18	Factor19	Factor20	Factor1	Factor2	Factor3	Factor4	Factor5	Factor6	Factor7	Factor8	Factor9	Factor10	Factor11	Factor12	Factor13	Factor14	Factor15	Factor16	Factor17	Factor18	Factor19	Factor20
LCC2018	0.0270966128107414	-4.51550363410841	0.796875369152906	-1.18836498838564	-1.31164372736247	-1.578330659407	-0.30909737985661	0.44308686985247	-1.08826698741407	-0.531747055600685	-0.306741102041958	-1.58078157809141	1.03713401149193	-0.0093247765545697	0.537445685010026	0.700175332615268	0.0098082846359621	-0.366969708031845	-0.26117262598243	0.174650031134341	-3.1673028784618	-0.0665145719892289	1.42836000996428	2.48265284205262	1.77170552158858	-2.29096406749679	0.462621267407609	0.0196036171130424	0.693288620055929	0.67511575770757	0.496220541258386	0.0913977548312215	0.440892206260189	-0.396013940666957	-0.615630781482517	0.0631169627276271	0.548200182151003	-1.02750396395384	2.06049097691421	-0.656729951457586
LCC1019	-1.1631033663102	-1.15272398421353	3.18678215898829	2.45784020569594	-0.783533736590691	-0.600656632873493	-0.415953205258729	0.391230529027933	0.0466544173550747	-4.14315962807075	-0.400183853911074	0.114286848977484	0.965000916771121	0.341582463625486	1.43351546224843	0.346392337904484	-0.125268056281404	-0.658958568755053	0.0623851513366674	0.275855308911143	-2.04584606840942	3.05372700140993	1.00246266187972	-0.0796360798822964	-0.466967319043467	0.520825365230294	-0.641314918200606	0.325153787974923	-1.11434564491875	0.267450383669485	-0.64831585380908	-0.848266048978494	-0.191910576727334	-0.0854113498462576	-0.165166056432144	-0.309787128177507	-0.364953782207194	0.0747491651426333	-0.726050209244898	0.354706593865961
LCC2008	-0.693049057850123	-2.00951311492454	0.736069415922716	-0.906270606919665	-0.608461011483007	-2.18942645949932	-0.262096035857342	0.331393411968828	-1.10192072775048	-1.0396388252524	0.392514216449793	-1.06014858895777	0.638704889858141	-0.12083085161589	0.210219012965798	0.308750013885558	-0.228414953060766	-0.164711630816198	-0.22565031806615	0.248055245609432	-1.27510136516016	-0.569502705802507	3.01275111320166	-0.37295529512479	0.61441970011171	0.02102998055198	-0.390871311218572	-0.134060741886352	0.0036772525411557	-0.000282721638496	0.0013124529721736	-0.0169131775117476	0.407930421695043	0.0188901912838612	-0.0016730219591391	0.0007489114011177	-0.0045274685345446	-0.0001269761740493	0.0002031649380829	0.0549505788650752
LCC1098	-0.991012381177638	-1.5318779673309	1.13844697098188	1.75084314207532	0.0354539588306599	1.7079885339627	0.124728230851315	-0.160339645542383	1.2773517516138	0.176365381892761	-0.578418995455107	0.111879054710639	-0.273769649317118	-0.278788269442485	0.713383675876979	0.0870193012554844	-3.89184652839517	-0.159113210920924	0.376083914510598	-23.5289727016411																				
LCC2044	-3.68328867086044	1.99180793624493	2.44202704482713	-1.22611818917015	0.25993179846054	-2.35569559830509	-0.0713726345433359	-0.351197125606109	0.229251287911092	-1.34118641341931	0.263597508247964	-0.328468757027869	0.807284070490857	-0.0146833836503273	0.259154758726202	-0.155044399988622	-0.211181353159055	-0.201354318200937	0.178556290451826	0.242400793934271	-2.73763844277439	1.54742281213696	1.93269591690295	-0.215776744958803	0.2778564561207	-0.35139753486842	-0.420950308132165	0.245116262639374	-0.535005230838641	0.457097531432991	-0.959229552256605	-0.555026062858939	0.200797714402417	-0.33995540337921	0.0786274733840185	-0.0452849256422245	0.0895123897843837	-0.226651377189114	-1.67115347392539	0.795411960624409
LCC1053	4.26977693332086	0.561442197367922	-1.58302829806968	-1.50316299240773	-0.583338047551436	-0.371617317830004	0.0690686674747024	0.582016968748906	-1.21751364057553	1.54457249515539	-1.39730357644057	1.45931986015605	1.17479871581942	1.66498050259307	0.288237591869921	0.404592580170995	0.404510552163488	-0.184003117694505	-0.338977199067392	0.0253757058797547	-2.52891473491331	0.169835352566512	2.00083623001093	2.00128801772959	-0.540906775394693	-2.06446340784151	-0.0206121053723372	0.0803865877826777	0.31601054521042	0.790364631964045	0.040029159442078	-0.459519969452197	2.45183000884586	-0.372496163334515	-0.2547130317769	-0.126722969981279	0.585166965411701	-0.350863199890804	-1.17706659574649	0.159842266215072
LCC2020	-3.02219524840516	1.47321016266733	1.26787761017098	1.12646100960308	-0.553712980323506	4.1965151815958	0.295556414773319	-0.143406090339316	-0.716688586476021	4.02938773084009	0.131408500645511	1.38885479058602	-0.498015812583135	0.292749505978416	0.665601925231081	0.548289499997705	-0.0816929298424807	-0.099686757280691	0.393063879358442	-0.229102923969494	-2.33978327808058	2.77006565236922	2.30627734552507	-0.456709557988906	-0.157686772196098	0.479833804781337	-0.563792888752483	0.486579609751736	-0.749304403981852	0.719469338681883	-0.647555394818024	-0.979786936200425	0.70320730853404	-0.216494377247748	-0.29709515407094	-0.516358065571101	-0.460524228219295	0.0881462086568837	-1.63709316682907	0.325173617607023
LCC1039	-0.790962120391456	-2.12459836895457	2.16284469276028	0.380728862898509	-0.627019193125598	0.309736230765362	-0.10238706300224	-0.971933589479317	-0.93415216166534	-0.917086968391566	-0.504784267715028	-0.532708036732605	1.05935690435305	0.0440640389395723	1.16205852199356	0.371904133454739	0.0088974534135769	-0.576302755874461	0.781631273195069	0.10302601612137	-3.1673320619047	-0.698022396811016	0.236605431553466	1.68734104923096	0.407134621074196	1.23485997166244	0.0969751995293516	-0.350908192885498	1.57957346404776	-0.074574775133209	0.758374448191185	0.204766098344363	0.536139835978252	-0.599495656632189	0.0459139308144582	0.228213895635336	-0.605116423274526	-0.625954839025779	-0.303378125748465	-0.460048948850139
LCC1001	-1.96321140244153	0.438303084060504	-1.60761799886707	-0.505693294826075	-0.0391723893216863	-6.1446571978453	0.441816252358139	0.514397741186973	-0.233246164490682	-0.630432202620947	0.828087544236944	-0.471418154388248	0.0109936462678344	0.167671310896517	-0.960828878180119	-0.0553422321668801	-0.323615760993151	0.200590906181803	-0.737732186859496	0.419933328416255	1.09050805870814	-10.058827729942	-14.0062854446965	-6.91837173639433	5.42487026013322	2.26462285754681	2.03904017735379	-0.138884159142407	-2.94567875041215	-0.709325324332611	6.68140619949934	3.0886395711447	2.16379756986867	-0.858313037977623	-0.529108113407483	-3.83536210093484	-1.05473933688658	-0.896851223083	4.24159492434325	1.561614031242
LCC1004	-1.01473113996244	-0.678204369243781	-1.11579209952161	-1.93844872475092	1.16758669437363	-3.44627368257924	0.444179598522899	-0.785656725902409	1.18731443305386	0.565408070018727	0.107629096865388	-1.25631287203437	-0.164593996229649	-0.749923214693385	-0.813341720300428	-0.594576052132798	-0.0903846732561019	0.326118315547518	0.228865707544759	0.234565755579253	-2.18405448234076	1.7326480522526	2.8189339480275	0.578479479216035	-0.60367325014223	-2.68424714890258	-0.364559711491717	-0.305116315616582	-0.415057140731679	-0.200250689560579	0.261277403535984	-0.604727287607135	0.265310418708964	-0.0508672089570179	-0.581622476847983	-0.827188638653781	1.06670701504657	-0.238631424260124	0.664284178423135	0.337995804792116
